,Year,Month,Mdate,Day,Time,Hourly_Counts
0,2009,5,1,4,0,53
1,2009,5,1,4,1,43
2,2009,5,1,4,2,10
3,2009,5,1,4,3,5
4,2009,5,1,4,4,25
5,2009,5,1,4,5,20
6,2009,5,1,4,6,80
7,2009,5,1,4,7,354
8,2009,5,1,4,8,846
9,2009,5,1,4,9,1096
10,2009,5,1,4,10,1481
11,2009,5,1,4,11,2154
12,2009,5,1,4,12,3755
13,2009,5,1,4,13,4545
14,2009,5,1,4,14,3389
15,2009,5,1,4,15,3312
16,2009,5,1,4,16,3676
17,2009,5,1,4,17,3804
18,2009,5,1,4,18,3010
19,2009,5,1,4,19,2092
20,2009,5,1,4,20,1491
21,2009,5,1,4,21,589
22,2009,5,1,4,22,576
23,2009,5,1,4,23,463
24,2009,5,2,5,0,237
25,2009,5,2,5,1,207
26,2009,5,2,5,2,126
27,2009,5,2,5,3,70
28,2009,5,2,5,4,56
29,2009,5,2,5,5,19
30,2009,5,2,5,6,51
31,2009,5,2,5,7,126
32,2009,5,2,5,8,362
33,2009,5,2,5,9,921
34,2009,5,2,5,10,1728
35,2009,5,2,5,11,2643
36,2009,5,2,5,12,3133
37,2009,5,2,5,13,3507
38,2009,5,2,5,14,3709
39,2009,5,2,5,15,4034
40,2009,5,2,5,16,3663
41,2009,5,2,5,17,2468
42,2009,5,2,5,18,915
43,2009,5,2,5,19,508
44,2009,5,2,5,20,467
45,2009,5,2,5,21,401
46,2009,5,2,5,22,346
47,2009,5,2,5,23,306
48,2009,5,3,6,0,305
49,2009,5,3,6,1,210
50,2009,5,3,6,2,209
51,2009,5,3,6,3,199
52,2009,5,3,6,4,75
53,2009,5,3,6,5,51
54,2009,5,3,6,6,60
55,2009,5,3,6,7,76
56,2009,5,3,6,8,179
57,2009,5,3,6,9,531
58,2009,5,3,6,10,1335
59,2009,5,3,6,11,1892
60,2009,5,3,6,12,2500
61,2009,5,3,6,13,2698
62,2009,5,3,6,14,3045
63,2009,5,3,6,15,3182
64,2009,5,3,6,16,2685
65,2009,5,3,6,17,1550
66,2009,5,3,6,18,512
67,2009,5,3,6,19,409
68,2009,5,3,6,20,252
69,2009,5,3,6,21,172
70,2009,5,3,6,22,129
71,2009,5,3,6,23,71
72,2009,5,4,0,0,22
73,2009,5,4,0,1,14
74,2009,5,4,0,2,23
75,2009,5,4,0,3,7
76,2009,5,4,0,4,7
77,2009,5,4,0,5,36
78,2009,5,4,0,6,97
79,2009,5,4,0,7,303
80,2009,5,4,0,8,804
81,2009,5,4,0,9,1090
82,2009,5,4,0,10,1642
83,2009,5,4,0,11,2248
84,2009,5,4,0,12,3532
85,2009,5,4,0,13,4113
86,2009,5,4,0,14,2857
87,2009,5,4,0,15,2774
88,2009,5,4,0,16,2552
89,2009,5,4,0,17,2383
90,2009,5,4,0,18,815
91,2009,5,4,0,19,424
92,2009,5,4,0,20,307
93,2009,5,4,0,21,202
94,2009,5,4,0,22,164
95,2009,5,4,0,23,65
96,2009,5,5,1,0,29
97,2009,5,5,1,1,4
98,2009,5,5,1,2,21
99,2009,5,5,1,3,1
100,2009,5,5,1,4,8
101,2009,5,5,1,5,21
102,2009,5,5,1,6,104
103,2009,5,5,1,7,361
104,2009,5,5,1,8,854
105,2009,5,5,1,9,1000
106,2009,5,5,1,10,1415
107,2009,5,5,1,11,2027
108,2009,5,5,1,12,3848
109,2009,5,5,1,13,4285
110,2009,5,5,1,14,2969
111,2009,5,5,1,15,2775
112,2009,5,5,1,16,2553
113,2009,5,5,1,17,2291
114,2009,5,5,1,18,866
115,2009,5,5,1,19,468
116,2009,5,5,1,20,292
117,2009,5,5,1,21,273
118,2009,5,5,1,22,107
119,2009,5,5,1,23,99
120,2009,5,6,2,0,42
121,2009,5,6,2,1,21
122,2009,5,6,2,2,5
123,2009,5,6,2,3,50
124,2009,5,6,2,4,13
125,2009,5,6,2,5,18
126,2009,5,6,2,6,99
127,2009,5,6,2,7,330
128,2009,5,6,2,8,926
129,2009,5,6,2,9,1119
130,2009,5,6,2,10,1373
131,2009,5,6,2,11,1935
132,2009,5,6,2,12,3802
133,2009,5,6,2,13,4416
134,2009,5,6,2,14,2901
135,2009,5,6,2,15,2721
136,2009,5,6,2,16,2665
137,2009,5,6,2,17,2341
138,2009,5,6,2,18,992
139,2009,5,6,2,19,575
140,2009,5,6,2,20,350
141,2009,5,6,2,21,254
142,2009,5,6,2,22,195
143,2009,5,6,2,23,91
144,2009,5,7,3,0,53
145,2009,5,7,3,1,62
146,2009,5,7,3,2,39
147,2009,5,7,3,3,14
148,2009,5,7,3,4,9
149,2009,5,7,3,5,25
150,2009,5,7,3,6,89
151,2009,5,7,3,7,342
152,2009,5,7,3,8,885
153,2009,5,7,3,9,1145
154,2009,5,7,3,10,1458
155,2009,5,7,3,11,2086
156,2009,5,7,3,12,3571
157,2009,5,7,3,13,4290
158,2009,5,7,3,14,2978
159,2009,5,7,3,15,2815
160,2009,5,7,3,16,2775
161,2009,5,7,3,17,2853
162,2009,5,7,3,18,1672
163,2009,5,7,3,19,758
164,2009,5,7,3,20,416
165,2009,5,7,3,21,326
166,2009,5,7,3,22,267
167,2009,5,7,3,23,136
168,2009,5,8,4,0,74
169,2009,5,8,4,1,52
170,2009,5,8,4,2,29
171,2009,5,8,4,3,14
172,2009,5,8,4,4,30
173,2009,5,8,4,5,24
174,2009,5,8,4,6,88
175,2009,5,8,4,7,347
176,2009,5,8,4,8,861
177,2009,5,8,4,9,1130
178,2009,5,8,4,10,1597
179,2009,5,8,4,11,2313
180,2009,5,8,4,12,3861
181,2009,5,8,4,13,4631
182,2009,5,8,4,14,3425
183,2009,5,8,4,15,3512
184,2009,5,8,4,16,3668
185,2009,5,8,4,17,3871
186,2009,5,8,4,18,2857
187,2009,5,8,4,19,2072
188,2009,5,8,4,20,1410
189,2009,5,8,4,21,657
190,2009,5,8,4,22,542
191,2009,5,8,4,23,409
192,2009,5,9,5,0,247
193,2009,5,9,5,1,150
194,2009,5,9,5,2,110
195,2009,5,9,5,3,64
196,2009,5,9,5,4,63
197,2009,5,9,5,5,40
198,2009,5,9,5,6,51
199,2009,5,9,5,7,109
200,2009,5,9,5,8,289
201,2009,5,9,5,9,778
202,2009,5,9,5,10,1546
203,2009,5,9,5,11,2313
204,2009,5,9,5,12,3163
205,2009,5,9,5,13,3279
206,2009,5,9,5,14,3588
207,2009,5,9,5,15,3839
208,2009,5,9,5,16,3501
209,2009,5,9,5,17,2324
210,2009,5,9,5,18,912
211,2009,5,9,5,19,471
212,2009,5,9,5,20,364
213,2009,5,9,5,21,367
214,2009,5,9,5,22,438
215,2009,5,9,5,23,391
216,2009,5,10,6,0,273
217,2009,5,10,6,1,247
218,2009,5,10,6,2,150
219,2009,5,10,6,3,125
220,2009,5,10,6,4,83
221,2009,5,10,6,5,68
222,2009,5,10,6,6,39
223,2009,5,10,6,7,94
224,2009,5,10,6,8,160
225,2009,5,10,6,9,543
226,2009,5,10,6,10,1101
227,2009,5,10,6,11,1698
228,2009,5,10,6,12,2173
229,2009,5,10,6,13,2432
230,2009,5,10,6,14,2682
231,2009,5,10,6,15,2619
232,2009,5,10,6,16,2216
233,2009,5,10,6,17,1368
234,2009,5,10,6,18,450
235,2009,5,10,6,19,243
236,2009,5,10,6,20,193
237,2009,5,10,6,21,171
238,2009,5,10,6,22,102
239,2009,5,10,6,23,83
240,2009,5,11,0,0,16
241,2009,5,11,0,1,35
242,2009,5,11,0,2,5
243,2009,5,11,0,3,4
244,2009,5,11,0,4,6
245,2009,5,11,0,5,16
246,2009,5,11,0,6,75
247,2009,5,11,0,7,325
248,2009,5,11,0,8,824
249,2009,5,11,0,9,885
250,2009,5,11,0,10,1304
251,2009,5,11,0,11,1837
252,2009,5,11,0,12,3246
253,2009,5,11,0,13,4019
254,2009,5,11,0,14,2747
255,2009,5,11,0,15,2607
256,2009,5,11,0,16,2323
257,2009,5,11,0,17,2122
258,2009,5,11,0,18,832
259,2009,5,11,0,19,379
260,2009,5,11,0,20,233
261,2009,5,11,0,21,188
262,2009,5,11,0,22,226
263,2009,5,11,0,23,105
264,2009,5,12,1,0,23
265,2009,5,12,1,1,19
266,2009,5,12,1,2,4
267,2009,5,12,1,3,7
268,2009,5,12,1,4,23
269,2009,5,12,1,5,18
270,2009,5,12,1,6,97
271,2009,5,12,1,7,362
272,2009,5,12,1,8,850
273,2009,5,12,1,9,841
274,2009,5,12,1,10,1273
275,2009,5,12,1,11,1755
276,2009,5,12,1,12,3430
277,2009,5,12,1,13,3948
278,2009,5,12,1,14,2730
279,2009,5,12,1,15,2560
280,2009,5,12,1,16,2592
281,2009,5,12,1,17,2083
282,2009,5,12,1,18,817
283,2009,5,12,1,19,401
284,2009,5,12,1,20,330
285,2009,5,12,1,21,204
286,2009,5,12,1,22,147
287,2009,5,12,1,23,61
288,2009,5,13,2,0,40
